C1-1007,21,0212,,Grand
C1-2018,10,0212,,Matériaux composites
C1-2055,24,0211,,
C1-3014,25,0211,30,Laboratoire mécatronique
C1-3027,15,0211,,Petit laboratoire de élect
C1-3016,50,0210,,
C1-3018,50,0211,,
C1-3024,50,0211,,
C1-3035,50,0210,22,
C1-3041,50,0210,11|22,
C1-3007,106,0620,11|14|24|38|40,Avec console multi-média
C1-3010,30,0211,,Laboratoire de conception VLSI
C1-4016,91,0620,11|14|40|24,
C1-4018,10,0212,,Métallurgie
C1-4019,8,0212,,Laboratoire accessoire Atelier
C1-4021,28,0210,22,
C1-4023,108,0620,11|14|24|38|40,
C1-4030,25,0211,,Équipement photoélasticité
C1-4028,14,0210,22,
C1-4008,106,0620,11|14|24|38|40,
C1-5012,35,0121,,8 cubicules
C1-5026,38,0210,11|14|22,Ordinateurs
C1-5028,50,0210,11|14|22,Ordinateurs
C1-5001,198,0620,11|14|24|38|40,Avec console multi-média
C1-5009,50,0111,11|14|24|38|40,Avec console multi-média
C1-5006,110,0620,11|14|24|38|40,Avec console multi-média
C2-0009,100,0214,,Grand et équipé
C2-1004,30,0212,33,Atelier géologie équipement
C2-1015,40,0211,,Laboratoire d’hydraulique
C2-1042,21,0211,,Laboratoire chimie-physique
C2-2040,40,0211,,Laboratoire sans instrument
C2-251,10,0211,,
C2-251-4,10,0211,,
D7-2018,57,0111,07|11|14|43,
D7-3001,35,0110,02|11|14,
D7-3002,22,0110,02|11|14,
D7-3007,54,0110,02|11,
D7-3009,45,0110,02|11,
D7-3010,21,0110,02|11|14,
D7-3011,50,0110,02|11|14,
D7-3012,54,0110,02|11|14,
D7-3013,44,0110,02|11|14,
D7-3014,40,0110,02|11|14,
D7-3015,48,0110,02|11,
D7-3016,125,0620,11|14|24|39|43,Avec console multi-média
D7-3017,45,0110,02|11|14,
D7-3019,48,0110,02|11|14,
D7-3020,35,0110,02|11|14|16,Un mur est en fenêtre
